id,airline,arrival_airport,arrival_time,departure_airport,departure_time,flight_number,status
1,Air India,New Delhi,2026-04-01 08:15:00,Hyderabad,2026-04-01 06:15:00,AIR-100,Scheduled
2,Air India,Bangalore,2026-04-01 08:30:00,Hyderabad,2026-04-01 06:30:00,AIR-101,Scheduled
3,Air India,Goa,2026-04-01 08:45:00,Hyderabad,2026-04-01 06:45:00,AIR-102,Scheduled
4,Air India,Rajahmundry,2026-04-01 09:00:00,Hyderabad,2026-04-01 07:00:00,AIR-103,Scheduled
5,Air India,Mumbai,2026-04-01 09:15:00,Hyderabad,2026-04-01 07:15:00,AIR-104,Scheduled
6,Air India,Chennai,2026-04-01 09:30:00,Hyderabad,2026-04-01 07:30:00,AIR-105,Scheduled
7,Air India,Kolkata,2026-04-01 09:45:00,Hyderabad,2026-04-01 07:45:00,AIR-106,Scheduled
8,Air India,Hyderabad,2026-04-01 10:00:00,New Delhi,2026-04-01 08:00:00,AIR-107,Scheduled
9,Air India,Bangalore,2026-04-01 10:15:00,New Delhi,2026-04-01 08:15:00,AIR-108,Scheduled
10,Air India,Goa,2026-04-01 10:30:00,New Delhi,2026-04-01 08:30:00,AIR-109,Scheduled
11,Air India,Rajahmundry,2026-04-01 10:45:00,New Delhi,2026-04-01 08:45:00,AIR-110,Scheduled
12,Air India,Mumbai,2026-04-01 11:00:00,New Delhi,2026-04-01 09:00:00,AIR-111,Scheduled
13,Air India,Chennai,2026-04-01 11:15:00,New Delhi,2026-04-01 09:15:00,AIR-112,Scheduled
14,Air India,Kolkata,2026-04-01 11:30:00,New Delhi,2026-04-01 09:30:00,AIR-113,Scheduled
15,Air India,Hyderabad,2026-04-01 11:45:00,Bangalore,2026-04-01 09:45:00,AIR-114,Scheduled
16,Air India,New Delhi,2026-04-01 12:00:00,Bangalore,2026-04-01 10:00:00,AIR-115,Scheduled
17,Air India,Goa,2026-04-01 12:15:00,Bangalore,2026-04-01 10:15:00,AIR-116,Scheduled
18,Air India,Rajahmundry,2026-04-01 12:30:00,Bangalore,2026-04-01 10:30:00,AIR-117,Scheduled
19,Air India,Mumbai,2026-04-01 12:45:00,Bangalore,2026-04-01 10:45:00,AIR-118,Scheduled
20,Air India,Chennai,2026-04-01 13:00:00,Bangalore,2026-04-01 11:00:00,AIR-119,Scheduled
21,Air India,Kolkata,2026-04-01 13:15:00,Bangalore,2026-04-01 11:15:00,AIR-120,Scheduled
22,Air India,Hyderabad,2026-04-01 13:30:00,Goa,2026-04-01 11:30:00,AIR-121,Scheduled
23,Air India,New Delhi,2026-04-01 13:45:00,Goa,2026-04-01 11:45:00,AIR-122,Scheduled
24,Air India,Bangalore,2026-04-01 14:00:00,Goa,2026-04-01 12:00:00,AIR-123,Scheduled
25,Air India,Rajahmundry,2026-04-01 14:15:00,Goa,2026-04-01 12:15:00,AIR-124,Scheduled
26,Air India,Mumbai,2026-04-01 14:30:00,Goa,2026-04-01 12:30:00,AIR-125,Scheduled
27,Air India,Chennai,2026-04-01 14:45:00,Goa,2026-04-01 12:45:00,AIR-126,Scheduled
28,Air India,Kolkata,2026-04-01 15:00:00,Goa,2026-04-01 13:00:00,AIR-127,Scheduled
29,Air India,Hyderabad,2026-04-01 15:15:00,Rajahmundry,2026-04-01 13:15:00,AIR-128,Scheduled
30,Air India,New Delhi,2026-04-01 15:30:00,Rajahmundry,2026-04-01 13:30:00,AIR-129,Scheduled
31,Air India,Bangalore,2026-04-01 15:45:00,Rajahmundry,2026-04-01 13:45:00,AIR-130,Scheduled
32,Air India,Goa,2026-04-01 16:00:00,Rajahmundry,2026-04-01 14:00:00,AIR-131,Scheduled
33,Air India,Mumbai,2026-04-01 16:15:00,Rajahmundry,2026-04-01 14:15:00,AIR-132,Scheduled
34,Air India,Chennai,2026-04-01 16:30:00,Rajahmundry,2026-04-01 14:30:00,AIR-133,Scheduled
35,Air India,Kolkata,2026-04-01 16:45:00,Rajahmundry,2026-04-01 14:45:00,AIR-134,Scheduled
36,Air India,Hyderabad,2026-04-01 17:00:00,Mumbai,2026-04-01 15:00:00,AIR-135,Scheduled
37,Air India,New Delhi,2026-04-01 17:15:00,Mumbai,2026-04-01 15:15:00,AIR-136,Scheduled
38,Air India,Bangalore,2026-04-01 17:30:00,Mumbai,2026-04-01 15:30:00,AIR-137,Scheduled
39,Air India,Goa,2026-04-01 17:45:00,Mumbai,2026-04-01 15:45:00,AIR-138,Scheduled
40,Air India,Rajahmundry,2026-04-01 18:00:00,Mumbai,2026-04-01 16:00:00,AIR-139,Scheduled
41,Air India,Chennai,2026-04-01 18:15:00,Mumbai,2026-04-01 16:15:00,AIR-140,Scheduled
42,Air India,Kolkata,2026-04-01 18:30:00,Mumbai,2026-04-01 16:30:00,AIR-141,Scheduled
43,Air India,Hyderabad,2026-04-01 18:45:00,Chennai,2026-04-01 16:45:00,AIR-142,Scheduled
