seat_id,available_seats,no_of_seats,price,seat_class,id
1,40,40,6010,Business,1
2,100,100,4005,Economy,1
3,40,40,6020,Business,2
4,100,100,4010,Economy,2
5,40,40,6030,Business,3
6,100,100,4015,Economy,3
7,40,40,6040,Business,4
8,100,100,4020,Economy,4
9,40,40,6050,Business,5
10,100,100,4025,Economy,5
11,40,40,6060,Business,6
12,100,100,4030,Economy,6
13,40,40,6070,Business,7
14,100,100,4035,Economy,7
15,40,40,6080,Business,8
16,100,100,4040,Economy,8
17,40,40,6090,Business,9
18,100,100,4045,Economy,9
19,40,40,6100,Business,10
20,100,100,4050,Economy,10
21,40,40,6110,Business,11
22,100,100,4055,Economy,11
23,40,40,6120,Business,12
24,100,100,4060,Economy,12
25,40,40,6130,Business,13
26,100,100,4065,Economy,13
27,40,40,6140,Business,14
28,100,100,4070,Economy,14
29,40,40,6150,Business,15
30,100,100,4075,Economy,15
31,40,40,6160,Business,16
32,100,100,4080,Economy,16
33,40,40,6170,Business,17
34,100,100,4085,Economy,17
35,40,40,6180,Business,18
36,100,100,4090,Economy,18
37,40,40,6190,Business,19
38,100,100,4095,Economy,19
39,40,40,6200,Business,20
40,100,100,4100,Economy,20
41,40,40,6210,Business,21
42,100,100,4105,Economy,21
43,40,40,6220,Business,22
44,100,100,4110,Economy,22
45,40,40,6230,Business,23
46,100,100,4115,Economy,23
47,40,40,6240,Business,24
48,100,100,4120,Economy,24
49,40,40,6250,Business,25
50,100,100,4125,Economy,25
51,40,40,6260,Business,26
52,100,100,4130,Economy,26
53,40,40,6270,Business,27
54,100,100,4135,Economy,27
55,40,40,6280,Business,28
56,100,100,4140,Economy,28
57,40,40,6290,Business,29
58,100,100,4145,Economy,29
59,40,40,6300,Business,30
60,100,100,4150,Economy,30
61,40,40,6310,Business,31
62,100,100,4155,Economy,31
63,40,40,6320,Business,32
64,100,100,4160,Economy,32
65,40,40,6330,Business,33
66,100,100,4165,Economy,33
67,40,40,6340,Business,34
68,100,100,4170,Economy,34
69,40,40,6350,Business,35
70,100,100,4175,Economy,35
71,40,40,6360,Business,36
72,100,100,4180,Economy,36
73,40,40,6370,Business,37
74,100,100,4185,Economy,37
75,40,40,6380,Business,38
76,100,100,4190,Economy,38
77,40,40,6390,Business,39
78,100,100,4195,Economy,39
79,40,40,6400,Business,40
80,100,100,4200,Economy,40
81,40,40,6410,Business,41
82,100,100,4205,Economy,41
83,40,40,6420,Business,42
84,100,100,4210,Economy,42
85,40,40,6430,Business,43
86,100,100,4215,Economy,43
87,40,40,6440,Business,44
88,100,100,4220,Economy,44
89,40,40,6450,Business,45
90,100,100,4225,Economy,45
91,40,40,6460,Business,46
92,100,100,4230,Economy,46
93,40,40,6470,Business,47
94,100,100,4235,Economy,47
95,40,40,6480,Business,48
96,100,100,4240,Economy,48
97,40,40,6490,Business,49
98,100,100,4245,Economy,49
99,40,40,6500,Business,50
100,100,100,4250,Economy,50
101,40,40,6510,Business,51
102,100,100,4255,Economy,51
103,40,40,6520,Business,52
104,100,100,4260,Economy,52
105,40,40,6530,Business,53
106,100,100,4265,Economy,53
107,40,40,6540,Business,54
108,100,100,4270,Economy,54
109,40,40,6550,Business,55
110,100,100,4275,Economy,55
111,40,40,6560,Business,56
112,100,100,4280,Economy,56
113,40,40,6570,Business,57
